Numéro notice,Titre,Auteur,Titre Périodique,Volume,Numéro,Date,DateDébut,DateFin,Collation,Editeur,Lieu,Notes,Type,Sujets
001,Le Secret. Annie Berthiaume,"QUINTY, Serge",Infomag,1,1,juillet - août 1997,1997-07-01,1997-08-31,p. 44,,,,Critique,"Berthiaume, Annie|Le Secret"
002,Par chez nous. Éric Dubeau,"QUINTY, Serge",Infomag,1,1,juillet - août 2007,2007-07-01,2007-08-31,p. 44,,,,Critique,"Par chez nous|Dubeau, Éric"
003,Terre fragile. Jean-Guy Labelle,"QUINTY, Serge",Infomag,1,1,juillet - août 1997,1997-07-01,1997-08-31,p. 44,,,,Critique,"Labelle, Jean-Guy (Chuck)|Terre fragile"
004,Le phénomène country au Canada français,"BOILEAU, Lucie",Infomag,4,5,mars - avril 2001,2001-03-01,2001-04-30,p. 18,,,,Chanson,"country|King, Carole Ann|industrie|Lalonde, Bobby|Labelle, Jean-Guy (Chuck)|identité|langue"
005,Philippe Flahaut : seul avec les autres,"BÉLANGER, Gabriel",Paroles & Musique,14,1,printemps 2007,2007-03-20,2007-06-21,p. 21,,,,Portrait,"Flahaut, Philippe|blues|chanter en français|diffusion"
006,Chuck repart avec le prix La Nuit sur l'étang,"DORNIER, Claude",Paroles & Musique,1,4,avril 1994,1994-04-01,1994-04-30,p. 10,,,,Annonce,"Labelle, Jean-Guy (Chuck)|La Nuit sur l'étang|Prix la Nuit sur l'étang"
007,Damien. Il tombe bien,"ROBITAILLE, Éric",Liaison,,125,hiver 2004,2004-12-21,2005-03-20,p. 49,,,,Portrait,"Robitaille, Damien"
008,"Trente ans de chansons, selon Lajoie, Monette et Demers","OUIMET, Jean-Michel",Liaison,,125,hiver 2004,2004-12-21,2005-03-20,p. 48,,,,Compte rendu,"Lajoie, Josée|Monette, Serge|Demers, Paul|30 ans de chansons"
009,Plus mordant que Le chien. L'album Seul avec les autres de Philippe Flahaut,"ROBITAILLE, Éric",Liaison,,123,été 2004,2004-06-21,2004-09-22,p. 45,,,,Critique,"Flahaut, Philippe|Seul avec les autres"
010,Francophone pop festival hits the high notes again,"MODRO, Heidi",The Ottawa Citizen,,,9 mai 1991,1991-05-09,1991-05-09,p. D9,,,,Texte d'information,Ontario Pop
